participant_id,species,age,sex,handedness
sub-001,homo sapiens,n/a,n/a,n/a
sub-002,homo sapiens,n/a,n/a,n/a
sub-003,homo sapiens,n/a,n/a,n/a
sub-004,homo sapiens,n/a,n/a,n/a
sub-005,homo sapiens,n/a,n/a,n/a
sub-006,homo sapiens,n/a,n/a,n/a
sub-007,homo sapiens,n/a,n/a,n/a
sub-008,homo sapiens,n/a,n/a,n/a
sub-009,homo sapiens,n/a,n/a,n/a
sub-010,homo sapiens,n/a,n/a,n/a
sub-011,homo sapiens,n/a,n/a,n/a
sub-012,homo sapiens,n/a,n/a,n/a
sub-013,homo sapiens,n/a,n/a,n/a
sub-014,homo sapiens,n/a,n/a,n/a
sub-015,homo sapiens,n/a,n/a,n/a
sub-016,homo sapiens,n/a,n/a,n/a
sub-017,homo sapiens,n/a,n/a,n/a
sub-018,homo sapiens,n/a,n/a,n/a
sub-019,homo sapiens,n/a,n/a,n/a
sub-020,homo sapiens,n/a,n/a,n/a
sub-021,homo sapiens,n/a,n/a,n/a
sub-022,homo sapiens,n/a,n/a,n/a
sub-023,homo sapiens,n/a,n/a,n/a
sub-024,homo sapiens,n/a,n/a,n/a
